NAME,DISTRICT
Margaret S. Chin,1
Carlina Rivera,2
Corey Johnson,3
Keith Powers,4
Ben Kallos,5
Helen Rosenthal,6
Mark Levine,7
Diana Ayala,8
Bill Perkins,9
Ydanis Rodriguez,10
Andrew Cohen,11
Andy King,12
Mark Gjonaj,13
Fernando Cabrera,14
Ritchie J. Torres,15
Vanessa L. Gibson,16
Rafael Salamanca Jr.,17
Ruben Diaz Sr.,18
Paul Vallone,19
Peter Koo,20
Francisco Moya,21
Costa Constantinides,22
Barry Grodenchik,23
Rory I. Lancman,24
Daniel Dromm,25
Jimmy Van Bramer,26
I. Daneek Miller,27
Adrienne E. Adams,28
Karen Koslowitz,29
Robert Holden,30
Donovan J. Richards,31
Eric A. Ulrich,32
Stephen T. Levin,33
Antonio Reynoso,34
Laurie A. Cumbo,35
Robert E. Cornegy Jr.,36
Rafael L. Espinal Jr.,37
Carlos Menchaca,38
Brad Lander,39
Mathieu Eugene,40
Alicka Ampry-Samuel,41
Inez Barron,42
Justin Brannan,43
Kalman Yeger,44
Jumaane D. Williams,45
Alan N. Maisel,46
Mark Treyger,47
Chaim M. Deutsch,48
Deborah Rose,49
Steven Matteo,50
Joseph C. Borelli,51
